vh,ozon,ibh,dpg,vis,temp,doy
5710.00,3.00,2693.00,-25.00,250.00,40.00,3.00
5700.00,5.00,590.00,-24.00,100.00,45.00,4.00
5760.00,5.00,1450.00,25.00,60.00,54.00,5.00
5720.00,6.00,1568.00,15.00,60.00,35.00,6.00
5790.00,4.00,2631.00,-33.00,100.00,45.00,7.00
5790.00,4.00,554.00,-28.00,250.00,55.00,8.00
5700.00,6.00,2083.00,23.00,120.00,41.00,9.00
5700.00,7.00,2654.00,-2.00,120.00,44.00,10.00
5770.00,4.00,5000.00,-19.00,120.00,54.00,11.00
5720.00,6.00,111.00,9.00,150.00,51.00,12.00
5760.00,5.00,492.00,-44.00,40.00,51.00,13.00
5780.00,4.00,5000.00,-44.00,200.00,54.00,14.00
5830.00,4.00,1249.00,-53.00,250.00,58.00,15.00
5870.00,7.00,5000.00,-67.00,200.00,61.00,16.00
5840.00,5.00,5000.00,-40.00,200.00,64.00,17.00
5780.00,9.00,639.00,1.00,150.00,67.00,18.00
5680.00,4.00,393.00,-68.00,10.00,52.00,19.00
5720.00,3.00,5000.00,-66.00,140.00,54.00,20.00
5760.00,4.00,5000.00,-58.00,250.00,54.00,21.00
5730.00,4.00,5000.00,-26.00,200.00,58.00,22.00
5700.00,5.00,3044.00,18.00,150.00,69.00,23.00
5650.00,6.00,3641.00,23.00,140.00,51.00,24.00
5680.00,9.00,111.00,-10.00,50.00,53.00,25.00
5820.00,6.00,597.00,-52.00,70.00,59.00,27.00
5810.00,6.00,1791.00,-15.00,150.00,64.00,29.00
5790.00,11.00,793.00,-15.00,120.00,63.00,30.00
5800.00,10.00,531.00,-38.00,40.00,63.00,31.00
5820.00,7.00,419.00,-29.00,120.00,62.00,32.00
5770.00,12.00,816.00,-7.00,6.00,63.00,33.00
5670.00,9.00,3651.00,62.00,30.00,54.00,34.00
5590.00,2.00,5000.00,70.00,100.00,36.00,35.00
5410.00,3.00,5000.00,28.00,200.00,31.00,36.00
5350.00,3.00,1341.00,18.00,60.00,30.00,37.00
5480.00,2.00,5000.00,.00,350.00,36.00,38.00
5600.00,3.00,3799.00,-18.00,250.00,42.00,39.00
5490.00,3.00,5000.00,32.00,350.00,37.00,40.00
5560.00,4.00,5000.00,-1.00,300.00,41.00,41.00
5700.00,6.00,5000.00,-30.00,300.00,46.00,42.00
5680.00,8.00,5000.00,-8.00,300.00,51.00,43.00
5700.00,6.00,2398.00,21.00,200.00,55.00,44.00
5650.00,4.00,5000.00,51.00,100.00,41.00,45.00
5610.00,3.00,4281.00,42.00,250.00,41.00,46.00
5730.00,7.00,1161.00,27.00,200.00,49.00,47.00
5770.00,11.00,2778.00,2.00,200.00,45.00,48.00
5770.00,13.00,442.00,26.00,40.00,55.00,49.00
5690.00,6.00,5000.00,-30.00,300.00,41.00,51.00
5700.00,5.00,5000.00,-53.00,300.00,45.00,52.00
5730.00,4.00,5000.00,-43.00,300.00,51.00,53.00
5690.00,4.00,5000.00,7.00,300.00,53.00,54.00
5640.00,6.00,5000.00,24.00,300.00,50.00,55.00
5720.00,10.00,1341.00,19.00,150.00,60.00,56.00
5740.00,15.00,1318.00,2.00,150.00,54.00,57.00
5740.00,23.00,885.00,-4.00,80.00,53.00,58.00
5740.00,17.00,360.00,3.00,40.00,53.00,59.00
5670.00,7.00,3497.00,73.00,40.00,44.00,60.00
5550.00,2.00,5000.00,73.00,80.00,40.00,61.00
5470.00,3.00,5000.00,44.00,300.00,30.00,62.00
5320.00,3.00,5000.00,39.00,200.00,25.00,63.00
5530.00,4.00,5000.00,-12.00,140.00,40.00,65.00
5600.00,6.00,5000.00,-2.00,140.00,45.00,66.00
5660.00,7.00,5000.00,30.00,140.00,51.00,67.00
5580.00,7.00,3608.00,24.00,100.00,48.00,68.00
5510.00,6.00,5000.00,38.00,140.00,45.00,69.00
5530.00,3.00,5000.00,56.00,200.00,47.00,70.00
5620.00,2.00,5000.00,66.00,120.00,43.00,71.00
5690.00,8.00,613.00,-27.00,300.00,49.00,72.00
5760.00,12.00,334.00,-9.00,300.00,56.00,73.00
5740.00,12.00,567.00,13.00,150.00,53.00,74.00
5780.00,16.00,488.00,-20.00,2.00,61.00,75.00
5790.00,9.00,531.00,-15.00,50.00,63.00,76.00
5760.00,24.00,508.00,7.00,70.00,70.00,77.00
5700.00,13.00,1571.00,68.00,17.00,57.00,78.00
5680.00,8.00,721.00,28.00,140.00,35.00,79.00
5720.00,10.00,505.00,-49.00,140.00,52.00,80.00
5720.00,8.00,377.00,-27.00,300.00,59.00,81.00
5730.00,9.00,442.00,-9.00,200.00,67.00,82.00
5710.00,10.00,902.00,54.00,250.00,57.00,83.00
5720.00,14.00,1381.00,4.00,60.00,42.00,85.00
5710.00,9.00,5000.00,-16.00,100.00,55.00,86.00
5600.00,11.00,5000.00,38.00,150.00,40.00,87.00
5630.00,7.00,1302.00,40.00,150.00,39.00,88.00
5690.00,9.00,1292.00,-5.00,200.00,57.00,89.00
5730.00,12.00,5000.00,-14.00,100.00,58.00,90.00
5710.00,12.00,472.00,34.00,300.00,62.00,91.00
5610.00,8.00,1404.00,42.00,120.00,51.00,92.00
5680.00,9.00,944.00,35.00,100.00,61.00,93.00
5620.00,5.00,5000.00,75.00,200.00,34.00,94.00
5420.00,4.00,5000.00,41.00,200.00,35.00,95.00
5540.00,4.00,5000.00,62.00,200.00,35.00,96.00
5590.00,9.00,5000.00,44.00,300.00,48.00,97.00
5690.00,13.00,2014.00,31.00,300.00,59.00,98.00
5550.00,5.00,5000.00,56.00,250.00,41.00,99.00
5620.00,10.00,5000.00,27.00,120.00,58.00,100.00
5630.00,10.00,524.00,57.00,140.00,51.00,101.00
5580.00,7.00,5000.00,55.00,200.00,46.00,102.00
5560.00,5.00,5000.00,59.00,140.00,40.00,103.00
5440.00,4.00,5000.00,24.00,80.00,35.00,104.00
5480.00,7.00,2490.00,29.00,300.00,46.00,105.00
5620.00,3.00,5000.00,107.00,100.00,39.00,106.00
5450.00,4.00,5000.00,36.00,300.00,32.00,107.00
5660.00,7.00,5000.00,28.00,200.00,47.00,108.00
5680.00,11.00,1144.00,30.00,120.00,50.00,109.00
5760.00,15.00,547.00,1.00,100.00,65.00,110.00
5790.00,22.00,413.00,10.00,120.00,66.00,111.00
5720.00,17.00,610.00,46.00,60.00,69.00,112.00
5660.00,7.00,3638.00,81.00,120.00,59.00,113.00
5710.00,10.00,3848.00,45.00,100.00,64.00,114.00
5780.00,19.00,1479.00,40.00,100.00,68.00,115.00
5750.00,18.00,1108.00,55.00,27.00,49.00,116.00
5700.00,12.00,869.00,.00,40.00,52.00,117.00
5620.00,6.00,5000.00,43.00,140.00,56.00,118.00
5650.00,9.00,5000.00,49.00,150.00,55.00,119.00
5730.00,19.00,1148.00,31.00,100.00,66.00,120.00
5810.00,21.00,856.00,4.00,100.00,74.00,121.00
5790.00,29.00,807.00,16.00,120.00,76.00,122.00
5740.00,16.00,2040.00,46.00,150.00,70.00,123.00
5690.00,11.00,314.00,60.00,120.00,67.00,125.00
5680.00,2.00,5000.00,75.00,120.00,41.00,127.00
5650.00,12.00,1410.00,20.00,140.00,61.00,128.00
5730.00,16.00,360.00,23.00,120.00,68.00,129.00
5730.00,22.00,1568.00,32.00,70.00,69.00,130.00
5760.00,20.00,1184.00,40.00,80.00,74.00,131.00
5830.00,27.00,898.00,24.00,70.00,74.00,132.00
5880.00,33.00,436.00,.00,40.00,80.00,133.00
5890.00,25.00,774.00,6.00,20.00,84.00,134.00
5850.00,31.00,1181.00,50.00,17.00,78.00,135.00
5820.00,18.00,1991.00,47.00,40.00,80.00,136.00
5800.00,24.00,1597.00,56.00,50.00,76.00,138.00
5740.00,16.00,1184.00,52.00,70.00,74.00,139.00
5710.00,12.00,3005.00,58.00,80.00,66.00,140.00
5720.00,9.00,2880.00,53.00,120.00,66.00,141.00
5740.00,16.00,2125.00,64.00,100.00,69.00,143.00
5690.00,8.00,3720.00,74.00,120.00,62.00,145.00
5730.00,9.00,4337.00,66.00,200.00,67.00,146.00
5780.00,29.00,2053.00,31.00,120.00,80.00,147.00
5790.00,20.00,1958.00,70.00,40.00,76.00,148.00
5750.00,5.00,3644.00,86.00,70.00,65.00,149.00
5680.00,5.00,1368.00,75.00,100.00,65.00,150.00
5720.00,11.00,3539.00,73.00,120.00,63.00,151.00
5770.00,12.00,2785.00,49.00,100.00,62.00,152.00
5800.00,19.00,984.00,26.00,120.00,68.00,153.00
5780.00,17.00,1804.00,56.00,70.00,68.00,154.00
5740.00,19.00,3234.00,77.00,80.00,69.00,155.00
5730.00,16.00,3441.00,67.00,100.00,66.00,156.00
5760.00,14.00,1578.00,61.00,100.00,70.00,157.00
5770.00,10.00,1850.00,76.00,120.00,70.00,158.00
5690.00,9.00,2962.00,80.00,120.00,64.00,159.00
5650.00,7.00,2670.00,54.00,120.00,61.00,160.00
5610.00,5.00,5000.00,76.00,150.00,52.00,161.00
5570.00,2.00,5000.00,57.00,140.00,48.00,162.00
5690.00,12.00,5000.00,46.00,140.00,59.00,163.00
5760.00,22.00,987.00,28.00,140.00,67.00,164.00
5810.00,17.00,1148.00,43.00,140.00,66.00,165.00
5830.00,26.00,898.00,-24.00,60.00,74.00,166.00
5880.00,27.00,777.00,-1.00,30.00,83.00,167.00
5860.00,14.00,1279.00,75.00,17.00,78.00,168.00
5830.00,11.00,1046.00,69.00,80.00,75.00,169.00
5870.00,23.00,1167.00,50.00,60.00,84.00,170.00
5860.00,26.00,987.00,45.00,100.00,81.00,171.00
5800.00,21.00,1144.00,57.00,120.00,79.00,172.00
5800.00,15.00,977.00,60.00,150.00,79.00,173.00
5770.00,20.00,770.00,26.00,120.00,65.00,174.00
5860.00,15.00,629.00,-11.00,140.00,81.00,175.00
5870.00,18.00,337.00,-14.00,140.00,84.00,176.00
5870.00,26.00,590.00,26.00,120.00,83.00,177.00
5860.00,19.00,400.00,19.00,120.00,90.00,178.00
